category_name,subCategory_name,item_type
"Wire, Cable & Accessory",Electrical Tool,Caulking Gun
"Wire, Cable & Accessory",Electrical Tool,Chop Saw
"Wire, Cable & Accessory",Electrical Tool,Clamping Screw
"Wire, Cable & Accessory",Electrical Tool,Corded Jigsaw
"Wire, Cable & Accessory",Electrical Tool,Die Grinder
"Wire, Cable & Accessory",Electrical Tool,Drilling Machine
"Wire, Cable & Accessory",Electrical Tool,Heat Gun
"Wire, Cable & Accessory",Electrical Tool,Potters Wheel
"Wire, Cable & Accessory",Electrical Tool,Tile Cutter
"Wire, Cable & Accessory",Electrical Tool,Pressure Washer
"Wire, Cable & Accessory",Electrical Tool,Cutting Blade
"Wire, Cable & Accessory",Electrical Tool,Ladder
"Wire, Cable & Accessory",Electrical Tool,Crimping Tool
"Wire, Cable & Accessory",Electrical Tool,Engineers File
"Wire, Cable & Accessory",Electrical Tool,Flaring Tool
"Wire, Cable & Accessory",Electrical Tool,Hand Punch
"Wire, Cable & Accessory",Electrical Tool,Tube Expander Tool Kit
"Wire, Cable & Accessory",Electrical Tool,Wire Brush
"Wire, Cable & Accessory",Security,CCTV Camera 
"Wire, Cable & Accessory",Security,Doorbell Camera
"Wire, Cable & Accessory",Security,Alarm System
"Wire, Cable & Accessory",Security,Motion Detector
"Wire, Cable & Accessory",Security,Door & Window Alarm
"Wire, Cable & Accessory",Security,Fire Alarm System
"Wire, Cable & Accessory",Security,Burglary Alarm
"Wire, Cable & Accessory",Security,Intrusion Detection
"Wire, Cable & Accessory",Smart Home,Smart Lighting
"Wire, Cable & Accessory",Smart Home,Smart Home Security
"Wire, Cable & Accessory",Smart Home,Voice Assistant
"Wire, Cable & Accessory",Smart Home,Smart Lock
"Wire, Cable & Accessory",Smart Home,Smart Energy Management
"Wire, Cable & Accessory",Smart Home,Smart Appliance
"Wire, Cable & Accessory",Smart Home,Smart Kitchen & Bath
Wall & Ceiling Finish,"Paint, Stain, Laquer & Applicator",Enamel Paint
Wall & Ceiling Finish,"Paint, Stain, Laquer & Applicator",Distemper Paint
Wall & Ceiling Finish,"Paint, Stain, Laquer & Applicator",Interior Paint
Wall & Ceiling Finish,"Paint, Stain, Laquer & Applicator",Exterior  Paint
Wall & Ceiling Finish,"Paint, Stain, Laquer & Applicator",Interior Texture
Wall & Ceiling Finish,"Paint, Stain, Laquer & Applicator",Exterior Texture
Wall & Ceiling Finish,"Paint, Stain, Laquer & Applicator",Concrete Paint
Wall & Ceiling Finish,"Paint, Stain, Laquer & Applicator",Exterior Stain & Sealer
Wall & Ceiling Finish,"Paint, Stain, Laquer & Applicator",Spray Paint
Wall & Ceiling Finish,"Paint, Stain, Laquer & Applicator",Interior Wood Stain & Finish
Wall & Ceiling Finish,"Paint, Stain, Laquer & Applicator",Craft & Art Supply
Wall & Ceiling Finish,"Paint, Stain, Laquer & Applicator",Paint Sprayer & Applicator
Wall & Ceiling Finish,"Paint, Stain, Laquer & Applicator",Polyurethane Paint/ PU
Wall & Ceiling Finish,"Paint, Stain, Laquer & Applicator",Duco Paint
Wall & Ceiling Finish,"Putty, Primer & Filler",Wall Putty
Wall & Ceiling Finish,"Putty, Primer & Filler",Wood Putty
Wall & Ceiling Finish,"Putty, Primer & Filler",Metal Putty
Wall & Ceiling Finish,"Putty, Primer & Filler",Water Based Primer
Wall & Ceiling Finish,"Putty, Primer & Filler",Oil Based Primer
Wall & Ceiling Finish,"Putty, Primer & Filler",Wall Crack Filler
Wall & Ceiling Finish,"Putty, Primer & Filler",Stone Crack Filler
Wall & Ceiling Finish,False Ceiling,Gypsum Board/ Plasterboard 
Wall & Ceiling Finish,False Ceiling,Calcium Silicate Board
Wall & Ceiling Finish,False Ceiling,Bison Board
Wall & Ceiling Finish,False Ceiling,Cement Fibre Board
Wall & Ceiling Finish,False Ceiling,Gi Frame Section
Wall & Ceiling Finish,False Ceiling,Aluminium Frame Section
Wall & Ceiling Finish,False Ceiling,Fastener
Wall & Ceiling Finish,False Ceiling,Jointing Tape
Wall & Ceiling Finish,False Ceiling,Jointing Compound
Wall & Ceiling Finish,False Ceiling,Chicken Mesh
Wall & Ceiling Finish,False Ceiling,Gypsum Powder/ Pop/ Plaster Of Paris
Wall & Ceiling Finish,False Ceiling,Suspending Cables
